,Date,Year,Month,Week_ofday,League_ID,League,team1,team2,spi_1,spi_2,prob_1,prob_2,prob_0,importance1,importance2,DEF_spi_x,OFF_spi_x,DETAIL_spi_x,OVRL_spi_x,Avg_Age_x,Total_marketcap_x,Value_per_year_x,DEF_spi_y,OFF_spi_y,DETAIL_spi_y,OVRL_spi_y,Avg_Age_y,Total_marketcap_y,Value_per_year_y,point_team1,point_team2,rolling5_team1,rolling5_team2,scor_diff
1375,2021-11-20,2021,11,5,1854,Serie A,Lazio,Juventus,69.88,78.62,0.2984,0.4584,0.2432,51.4,73.0,0.3588763600375141,0.3354611073082299,0.27534842655194364,0.4508384094413505,27.1,256000000.0,0.37777777777777777,0.3985469985677185,0.31259199178214325,0.4004523985432116,0.45049788607954744,27.4,452000000.0,0.011441647597254004,0.0,4.0,13.0,9.5,-2
1376,2021-11-20,2021,11,5,1869,LaLiga,Celta Vigo,Villarreal,72.66,76.02,0.3744,0.3543,0.2713,13.8,33.7,0.4697901101600169,0.23639822590019446,0.24972891735328506,0.28665761235067017,26.6,124000000.0,0.32275132275132273,0.2933426859519632,0.353635800445363,0.305031635953899,0.29673234237786195,28.5,338000000.0,0.9047619047619048,1.0,1.5,1.0,4.5,0
1377,2021-11-20,2021,11,5,2411,Premier League,Liverpool,Arsenal,91.04,77.68,0.6733,0.1424,0.1843,64.7,52.7,0.4843391348196264,0.5949246543360351,0.7237490315287876,0.5905374489514696,27.3,867000000.0,0.09995002498750627,0.49512861968848015,0.5602406554334383,0.6957207854459192,0.6362304791498316,25.0,749000000.0,0.17411924119241196,3.0,0.0,9.0,9.5,4
1378,2021-11-20,2021,11,5,1869,LaLiga,Atletico Madrid,Osasuna,83.19,67.98,0.6585,0.1202,0.2212,61.7,26.1,0.45765399072208024,0.43780253309457223,0.380322167462007,0.3685654914324563,28.5,520000000.0,-0.0038022813688212884,0.4578171203390091,0.2664604519139169,0.3545992482522487,0.27242357207187917,28.1,127000000.0,1.4305555555555556,3.0,0.0,9.0,13.5,1
1379,2021-11-19,2021,11,4,1845,Bundesliga,Augsburg,Bayern Munich,56.83,94.1,0.058,0.8355,0.1065,39.4,28.7,0.2418918487302114,0.15977101844148997,0.385355573331698,0.2993715282425395,26.6,99000000.0,0.17435897435897432,0.5406368578954894,0.9268551694297676,0.7438773964295111,0.8961559721696112,26.2,920000000.0,0.34663710273466375,3.0,0.0,9.0,15.0,1
1380,2021-11-19,2021,11,4,1843,Ligue 1,Monaco,Lille,70.4,70.35,0.4243,0.2774,0.2982,49.4,48.2,0.5188319067348868,0.5351553889045203,0.43196119286975987,0.5161931170336572,24.2,345000000.0,0.052572706935123024,0.48642745331300136,0.5398173256884854,0.5247995105951886,0.4988342075908221,25.5,191000000.0,0.34397163120567376,1.0,1.5,4.0,4.0,0
1381,2021-11-07,2021,11,6,1869,LaLiga,Real Betis,Sevilla,73.22,77.54,0.3807,0.3466,0.2727,58.6,69.0,0.40408346846780346,0.20894537745253708,0.27526622835054976,0.31699430202783685,29.2,270000000.0,0.4166666666666667,0.2742198221211519,0.19455644281547058,0.34092326976314735,0.19606394758873502,28.8,225000000.0,0.1325051759834369,0.0,4.0,10.0,12.5,-2
1382,2021-11-07,2021,11,6,1869,LaLiga,Mallorca,Elche,63.07,60.43,0.4482,0.2519,0.2998,36.1,44.9,0.41350154391966526,0.2257287279210883,0.1418910205532998,0.15630831123028213,28.3,76000000.0,0.8181818181818182,0.2668883483250256,0.12086425992226074,0.23724856433970304,0.15236160374762409,28.7,59000000.0,0.65,1.0,1.5,6.0,4.0,0
1383,2021-11-07,2021,11,6,1854,Serie A,Lazio,Salernitana,68.54,49.68,0.6102,0.174,0.2158,32.3,41.5,0.3588763600375141,0.3354611073082299,0.27534842655194364,0.4508384094413505,27.1,256000000.0,0.37777777777777777,0.2851646759280199,0.241712346856432,0.32335423990912915,0.34061451373566787,26.5,95000000.0,0.47863247863247854,3.0,0.0,13.0,0.0,3
1384,2021-11-07,2021,11,6,1843,Ligue 1,Reims,Monaco,53.25,70.13,0.2533,0.461,0.2857,31.1,40.5,0.5606403688365892,0.37106465107298126,0.32729296606007247,0.30026791392030544,24.7,87000000.0,0.32575757575757575,0.5188319067348868,0.5351553889045203,0.43196119286975987,0.5161931170336572,24.2,345000000.0,0.052572706935123024,1.0,1.5,5.0,9.5,0
1385,2021-11-07,2021,11,6,2411,Premier League,Everton,Tottenham,69.97,72.94,0.3861,0.3622,0.2517,16.7,23.9,0.3697171180783264,0.20711357152192367,0.19992186558485733,0.22866011293609925,28.0,409000000.0,0.14004629629629628,0.3759222126425954,0.5118378247418678,0.6588708222692203,0.5826125612323547,25.55,50000000.0,0.32,1.0,1.5,7.0,8.0,0
